codVia;codMunicipioOrigen;codMunicipioDestino;descripcion;valorSicetac;esEstandar
11456;11001000;76109000;Soacha,La Mesa,Anapoima,Apulo,Tocaima,Girardot,Ibague,Cajamarca,Calarca,La Tebaida,Bugalagrande,Andalucia,Tulua,Guadalajara De Buga;;1
12512;11001000;76109000;Se cambia paso por municipios entre Calarca, La Tebaida, La Paila por Calarca, Pereira, Cartago, La Paila;;0
12513;11001000;76109000;Soacha,Silvania,Fusagasuga,Ibague,Cajamarca,Calarca,La Tebaida,Bugalagrande,Andalucia,Tulua,Guadalajara De Buga;;0
